2019-11-28 22:06:04,027 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2019-11-28 22:06:06,697 [Client thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/Treasure2-1.12.2/update.json
2019-11-28 22:50:18,290 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! COMMON chest at coords: 104 92 -664
2019-11-28 23:02:35,524 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! UNCOMMON chest at coords: 712 63 -312
2019-11-28 23:02:48,244 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2019-11-28 23:02:48,245 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! RARE chest at coords: 699 32 -430
2019-11-28 23:03:39,980 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! EPIC chest at coords: 552 32 -664
2019-11-28 23:06:09,295 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2019-11-28 23:06:09,296 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! SCARCE chest at coords: 645 39 -690
2019-11-28 23:06:49,927 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2019-11-28 23:06:49,928 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! RARE chest at coords: 718 41 -613
2019-11-28 23:11:34,741 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! SCARCE chest at coords: 281 37 -813
2019-11-28 23:12:34,197 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! UNCOMMON chest at coords: 196 53 -791
2019-11-28 23:13:34,280 [Server thread] INFO Treasure2 | SimpleWellGenerator.java:85 | CHEATER! Wishing Well at coords: 184 73 -808
2019-11-28 23:15:34,612 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! COMMON chest at coords: 56 62 -904
2019-11-28 23:16:53,925 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! SCARCE chest at coords: -56 38 -680
2019-11-29 21:31:34,243 [Client thread] ERROR GottschCore | AbstractResourceManager.java:173 | Unable to locate resource /structures/treasure2/float/
2019-11-29 21:31:39,898 [Client thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2019-11-29 21:31:42,806 [Client thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/Treasure2-1.12.2/update.json
2019-11-29 21:40:59,308 [Server thread] INFO Treasure2 | AbstractChestGenerator.java:190 | CHEATER! COMMON chest at coords: 88 52 -1032
2019-11-29 22:01:26,094 [Client thread] ERROR GottschCore | AbstractResourceManager.java:173 | Unable to locate resource /structures/treasure2/float/
